Bolag;Datum;Lista;Radgivare;Flaggor(st);Erbjudande(Mkr);Utveckling(%);Borsvarde(Mkr);Teckningskurs(kr);Ande nyemission(%);Teckningsatagare;Garantiatagare;Andel sakrad(%);VD;Ordforande;Nyckelpersons agande;Storagare;Saljande storägare;Storleksklass;Uttnyttjad overtilldelning;Utv forsta dagen;Hemsida;Ovriga radgivare
Nanoform;2020-06-04;First North;Danske Bank,SEB ;5;822;                          34        ;2316;3,45;90;Keel Capital,Fjarde AP-Fonden,Handelsbanken Fonder,Sp-Fund Management Company,Mandatum Life Insurance Company;;58.,3;Edward Hæggstrom;Miguel Calado;10,48;Mandatum Life Insurance Company,Helsinki University Funds,Edward Hæggstrom,Keel Kapital,Ilmarinen Mutual Pension Insurance;									Helsinki University Funds,					Edward Hæggstrom,					Jouko Yliruusi,					Kai Falck,					Ilkka Lassila			;Miljardbolag;100;46,38;nanoform.com/en;Swedbank,Stifel,Borenius Attorneys,Vinge,White & Case 
Pexip;2020-05-14;Oslo Børs;ABG Sundal Collier,Carnegie,Pareto ;0;2056;                          -47        ;5861;63;50;Capital Research and Management Company,Wasatch Global Investors,DNB Asset Management,TIN Fonder;;46.,7;Odd Sverre Østlie;Michael Sagen;22,33;Capital Research and Management Company,Stavanger Venture,Wasatch Global Investors,DNB Asset Management,Bjøberg Eiendom;									Stavanger Venture,					Bjøberg Eiendom,					Tamorer Ltd ATF Wylie Family Trust,					T.D. Veen			;Miljardbolag;100;38,89;www.pexip.com;Schjødt,Thommessen 
Biofrigas;2020-06-18;Spotlight;Sedermera Corporate Finance ;1;17;                          69        ;42;4,7;100;John Fallstrom,Jimmy Landerman,Christian Berger,Martin Linde,Peter Nilsson;;71.,2;Jonas Stalhandske;Martin Linde;7,51;John Fallstrom,TecNet Nordic Syd,Almi Invest,Andreas Bjorklund,Chalmers Ventures;;Mikrobolag;0;8,94;www.biofrigas.se;Markets & Corporate Law 
Invajo Technologies;2020-05-14;First North;Eminova ;6;22;                          -32        ;57;9;100;Petra Sas,Formue Nord,Felix Granander,Fredrik Berglund,Philip Lochen;;72.,6;Fredrik Berglund;Erik Wikstrom;14,44;Felix Granander,Fredrik Berglund,Kallskar AB (Harald Mix) ,Petra Sas,Formue Nord;;Mikrobolag;100;-23,56;sv-se.invajo.com;Eversheds Sutherland Advokatbyra 
Bioextrax;2020-04-28;Spotlight;Ingen radgivare ;3;6;                          1314        ;31;9,8;100;Richard Tooby,Stefan Lundgren,John Moll,Peter Nilsson,Edvard Hall;;50.,2;Edvard Hall;Per Hokfelt;33,86;Mohammad H.A. Ibrahim,Rajni Hatti Kaul,Ecozyme,John Moll,Peter Nilsson;;Mikrobolag;0;91,58;bioextrax.com;Eminova 
Monivent;2020-03-17;Spotlight;Sedermera Corporate Finance ;2;20;                          19        ;39;7,25;100;Gerhard Dal,Chalmers Ventures,Oliver Molse, m.fl.,Almi Invest,Pontus Johansson med narstaende;;58.,8;Karin Dahllof;Fredrik Sjovall;11,78;Chalmers Ventures,Almi Invest,Pontus Johansson med narstaende,Maria Lindqvist,Advecto;;Mikrobolag;0;-39,72;www.monivent.se;Markets & Corporate Law 
Stayble Therapeutics;2020-03-09;First North;Mangold FK ;4;35;                          -36        ;85;12,3;100;Bertil Lindkvist,Dragfast AB,Jens Olsson,Mangold FK,Mikael Blihagen;;79.,9;Andreas Gerward;Catharina Baarnhielm;18,94;Stiftelsen Chalmers Tekniska Hogskola,Kjell Olmarker,Almi Invest,K-Svets Venture,Andreas Gerward;;Mikrobolag;0;-12,6;staybletherapeutics.se;Schjødt 
Train Alliance;2020-02-20;First North;Avanza Bank ;1;250;                          88        ;736;50;100;PriorNilsson,Investment AB Spiltan,ITG Ingenieur- Tief und Gleisbau,Polar Structure;;74;Joakim Weijmer;Otto Persson;15,72;ITG Ingenieur- Tief und Gleisbau,Sven Jemsten,PriorNilsson,Investment AB Spiltan,Polar Structure;;Smabolag;93.84;15,02;trainalliance.se;Delphi 
Inhalation Sciences;2017-09-28;Spotlight;Corpura ;1;17;                          46        ;43;5;100;Svedala,Jimmie Landerman,Goran Mansson,Oliver Molse, m.fl.;;62.,4;Fredrik Sjovall;Otto Skolling;Uppgift saknas;Per Nilsson,Per Gerde,Almi,Jimmie Landerman,Oliver Molse, m.fl.;;Mikrobolag;0;85;www.inhalation.se;Aqurat,Fredersen Advokat 
Qlife;2020-03-02;First North;G&W FK ;3;50;                          78        ;132;12,3;100;Thomas Warthoe,Jimmie Landerman,Oliver Molse, m.fl.,Leif GW Persson,John Moll;;70;Thomas Warthoe;Mette Gross;39,68;PKV Konsult IVS,Styrelsen for Institutioner og Uddannelsesstøtte,Leif GW Persson,John Fallstrom,Oliver Molse, m.fl.;;Mikrobolag;99.98;-18,86;qlifeholding.com;Nordnet Bank,Setterwalls 
Veg of Lund;2020-02-10;First North;Eminova ;3;30;                          67        ;116;11;100;Leif GW Persson,LMK,Faro Capital,Philip Lochen,Gerhard Dal;;70;Thomas Olander;Torbjorn Clementz;37,71;Eva Tornberg,Thomas Olander,LU Holding,Torbjorn Malmsjo,Anders Hattmark;;Mikrobolag;0;-9,91;vegoflund.se;Nordnet Bank,Fredersen Advokat 
ODI Pharma;2020-01-23;Spotlight;Sedermera Corporate Finance ;3;25;                          -45        ;140;9,2;100;Esk Invest,Derek Simmross,Volker Wiederrich,Gerhard Dal,Mikael Blihagen;;69.,9;Derek Simmross;Volker Wiederrich;83,82;Volker Wiederrich,Derek Simmross,Esk Invest,Niclas Kappelin,Gerhard Dal;;Mikrobolag;0;22,28;www.odipharma.com;Nordnet Bank,Markets & Corporate Law 
Fastpartner D-aktie;2019-12-13;Nasdaq Mid;Swedbank ;0;602;                          -6        ;602;86;100;;;0;Sven-Olof Johansson;Peter Carlsson;Uppgift saknas;;;Miljardbolag;100;1,35;fastpartner.se;Gernandt & Danielsson 
QleanAir;2019-12-12;First North;Pareto ;2;300;                          58        ;594;40;0;Ospecifierat;;66.,7;Andreas Goth;Rolf Classon;3,23;Qevirp 41,Andreas Goth,Rolf Classon,Henrik Resmark,Christina Lindstedt;;Smabolag;100;-1,25;www.qleanair.com;Setterwalls,Aktieinvest,Baker McKenzie 
24Storage;2019-12-10;First North;Arctic Securities ;2;100;                          61        ;701;47;100;Adrigo Asset Management,Consensus Asset Management,Ivar Kjellberg AB,Johan Thorell,Lovén & Helgesson Invest;;75;Fredrik Sandelin;Jan-Olof Backman;52,1;Ernstrom Kapital,Staffan Persson,Mikael Fogelberg,Fredrik Tilander,Per Josefsson Invest;									Michael Fogelberg			;Smabolag;0;12,98;24storage.se;Baker McKenzie 
Kollect on Demand;2019-12-19;First North;Mangold FK ;5;25;                          -51        ;75;14;100;Mangold FK,Folá Private Partners,Aggregate Media,Varsity Capital Group,Johan Thorell;;39;John O’Connor;Johnny Fortune;53,23;John O’Connor,Robbie Skuse,John Hegarty,Enterprise Ireland,Mangold FK;;Mikrobolag;0;-;plc.kollect.ie;Fóla Private Partners,Eversheds Sutherland Advokatbyra,Kiely Solicitors 
Optomed;2019-12-05;Nasdaq Helsingfors;Carnegie,Swedbank ;3;293;                          110        ;668;4,5;72;;;0;Seppo Kopsala;Petri Salonen;24,26;Cenova Capital,Halma Ventures,Robert Bosch Venture Capital,Aura Capital,Finnish Industry Investment;									Halma Ventures,					Aura Capital,					Finnish Industry Investment,					Mankato Capital,					Markku Virta			;Smabolag;100.04;1,78;www.optomed.com;Hannes Snellman,Nordnet Bank 
Astralis Group;2019-12-09;First North Denmark;Tofte & Company ;5;215;                          -54        ;726;8,95;100;Christian Swane Mourier,Jesper Mourier,Sye Wai Chan,Christopher Kjaer,Claus Zibrandtsen;;38;Anders Hørsholt och Nikolaj Nyholm;Jette Nygaard-Andersen;47,92;Nikolaj Nyholm,Jakob Lund Kristensen,Claus Zibrandtsen,Anders Hørsholt,Christian Swane Mourier;;Smabolag;0;-;www.astralisgroup.net;BKH Law 
K-Fastigheter;2019-11-29;Nasdaq Mid;Carnegie,Danske Bank ;0;788;                          390        ;3440;105;100;Andra AP-fonden,Fjarde AP-Fonden,Capital Resesarch och Management Company,Celox,Lansforsakringar;;54;Jacob Karlsson;Erik Selin;77,11;Jacob Karlsson,Erik Selin,Andra AP-fonden,Capital Resesarch och Management Company,Celox;;Miljardbolag;100;55,24;k-fastigheter.se;Avanza Bank,Setterwalls 
MOBA Network;2019-12-12;First North;Redeye ;4;26;                          74        ;301;176,5;100;TIN Fonder;;39.,1;Bjorn Mannerqvist;Henrik Henriksson;14,87;New Equity Venture,Henrik Kvick,Thomas Jansson,Jonas Bertilsson,CloverHill Holdings Ltd;;Smabolag;0;-29,63;wearemoba.com;Nordnet Bank 
Amido;2019-12-02;Spotlight;Goteborg Corp. ;6;33;                          159        ;125;5,5;100;Johnny Berlic,Alexander Tasevski,Naseer Ahmed,Fore C Investment,Gemgard;									Johnny Berlic,					Fore C Investment,					Gemgård,					Alexander Tasevski,					Peo Emgård			;75.,8;Johnny Berlic;Petra Palmgren Lindwall;57,63;Gemgard,Torbjorn Hall,Peo Emgard,Oskar Berggren,Andreas Selstam;;Mikrobolag;0;-25,44;www.amido.se;Aqurat 
SATS;2019-10-23;Oslo Børs;ABG Sundal Collier,Morgan Stanley,Carnegie,Swedbank ;3;2293;                          -21        ;4635;25,75;66;;;0;Sondre Gravir;Hugo Lund Maurstad;4,22;SATS Group,SATS Management Invest,Hansemgruppen;									SATS Group,					SATS Management Invest,					Hansemgruppen			;Miljardbolag;44.04;-15,69;satsgroup.com;Thommessen,Latham & Watkins 
Transcendent;2019-10-22;First North;Avanza Bank ;6;50;                          -16        ;200;31;60;Swedbank Robur;;36.,1;Martin Malm;Hakan Berg;66,74;Martin Malm,Magnus Juvas,Martin Bohlin,Swedbank Robur,Hakan Berg;									Martin Malm,					Magnus Juvas,					Martin Bohlin,					Hakan Berg			;Smabolag;0;-10,97;transcendentgroup.com;Kanter 
ZignSec;2019-10-21;First North;Eminova ;2;35;                          230        ;105;5,3;100;Leif GW Persson,Johan Svensson,Love Carlsson,Andreas Johansson,Östen Carlsson;;70.,9;Jonas Ingelstrom;Alexander Albedj;8,81;Retsoobe,NFT Venture,Bengt Braun Forvaltnings,Leif GW Persson,Alexander Albedj;;Mikrobolag;0;6,6;zignsec.com;Eversheds Sutherland Advokatbyra 
Akelius D-aktie;2019-10-04;First North;Deutsche Bank,Swedbank ;1;2119;                          -9        ;2119;1,8;100;;;0;Pal Ahlsén;Anders Lindskog;Uppgift saknas;;;Miljardbolag;100;-5,72;www.akelius.com/sv;Avanza Bank 
EQT AB;2019-09-24;Nasdaq Large;J.P Morgan,SEB ;2;12389;                          468        ;61944;65;45;;;0;Christian Sinding;Conni Jonsson;59,25;Investor,Conni Jonsson,Thomas von Koch,Lennart Blecher,Christian Sinding;									Partnergruppen,					Investor m.fl.			;Miljardbolag;100;38,46;www.eqtgroup.com;Goldman Sachs,Morgan Stanley,Nordea,UBS,ABG Sundal Collier,BNP Paribas,BofA Merrill Lynch,Avanza Bank 
Onoterat AB;2019-10-18;NGM SME;Ingen radgivare ;12;3;                          -48        ;27;3,85;100;Bertil Rydevik,Adam Lewis,Lars-Erik Bratt,Henrik Sporje;									Alntorp,					Andreas Poike,					Erik Forsell,					Adam Lewis			;112.,1;Lars-Erik Bratt;Bertil Rydevik;14,01;Dividend Sweden,Didrik Hamilton,Bertil Rydevik,Rikard af Trolle,Adam Lewis;;Mikrobolag;0;-39,22;onoterat.se;Aktieinvest 
Carbiotix;2019-10-18;Spotlight;Sedermera Corporate Finance ;1;12;                          245        ;38;4,45;100;Oliver Molse, m.fl.,Gerhard Dal,Rasunda Forvaltning,John Moll,Peter Nilsson;;59.,7;Kristofer Cook;Peter Falck;55,63;Peter Falck,Kristofer Cook,Sustainability Support,Oliver Molse, m.fl.,Gerhard Dal;;Mikrobolag;0;18,2;carbiotix.com;
K2A Fastigheter;2019-06-20;Nasdaq Small;Carnegie,Swedbank ;1;261;                          330        ;1109;71;77;Lansforsakringar,SEB Investment Management;;57.,5;Johan Knaust;Johan Thorell;68,8;Johan Knaust,Johan Thorell,Johan Ljungberg,Claes-Henrik Julander,Lansforsakringar;									Johan Knaust,					Ludwig Holmberg			;Miljardbolag;100.33;11,27;investerare.k2a.se;Baker McKenzie,Gernandt & Danielsson,Lindahl,Avanza Bank 
Lipidor;2019-09-27;First North;Corpura ;3;25;                          94        ;142;6;100;Cormac Invest,Cerbios-Pharma,Rasunda Forvaltning,Aurena Laboratories,Ola Flink;;72.,2;Ola Holmlund;Ola Flink;21,8;Cerbios-Pharma,Rasunda Forvaltning,Aurena Laboratories,Jan Holmback,Medigelium;;Mikrobolag;0;24;lipidor.se;Aqurat,Fredersen Advokat,Nordnet Bank 
Eco Wave Power;2019-07-18;First North;Naventus Corp. ;7;150;                          -37        ;698;19;100;;;0;Inna Braverman;Mats Andersson;63,97;Inna Braverman,David Leb,Pirveli Investments;;Smabolag;0;-16,32;www.ecowavepower.com;Torngren Magnell,Nordnet Bank,Avanza Bank,Aktieinvest 
Zoomability;2019-08-05;Spotlight;Ingen radgivare ;11;8;                          63        ;21;10;100;Ted Tigerschiold,Stockholms Bergteknik;									Fårö Capital			;100;Pehr-Johan Fager;Karl Axel Sundkvist;26,54;Ted Tigerschiold,New Equity Venture,Nordic Emotion Group,Ateneum,Stockholm Bergteknik;;Mikrobolag;0;-9;zoomability.com;Sedermera Corporate Finance 
Traton;2019-06-28;Nasdaq Large;Citigroup,Deutsche Bank,Goldman Sachs,J.P Morgan ;4;16050;                          -15        ;160510;321,02;0;AMF Pension;;13.,3;Andreas Renschler;Hans Dieter Potsch;Uppgift saknas;Volkswagen,AMF Pension;									Volkswagen			;Miljardbolag;100;-13,23;traton.com/en.html;
Hastkallaren;2019-07-17;NGM SME;Ingen radgivare ;7;12;                          18        ;29;10;100;Daniel Karlsson,Handelshuset P&E,Peter Thormalm,Mangold FK,Maria Karlsson;;31.,1;Daniel Karlsson;Cecilia Hollerup;63,94;Daniel Karlsson,Handelshuset P&E,Peter Thormalm,Mangold FK,Maria Karlsson;;Mikrobolag;0;4;hastkallaren.se;Mangold FK,Advokatfirman Titov & Partners,Next Advokater 
QuickBit;2019-07-11;NGM SME;Ingen radgivare ;9;16;                          350        ;207;3,2;100;;									FrontOffice Nordic,					Abelco Investment Group			;100;Jorgen Eriksson;Bengt Lagergren;6,66;FTCS Intressenter,FrontOffice Noric,Per Öberg,Abelco Investment Group;;Smabolag;0;216,33;quickbit.eu;Eminova 
Mentice;2019-06-18;First North;Pareto ;3;413;                          76        ;1183;49;20;Bure,Berenberg,Fjarde AP-Fonden,Handelsbanken Fonder,TIN Fonder;;64.,2;Goran Malmberg;Lawrence D. Howell;38,88;Lawrence D. Howell,Priveq Investment Fund III,Bure,Medical Simulation Corp,EFG Bank;									Priveq Investment Fund III,					EFG Bank Geneva			;Miljardbolag;100;37,96;www.mentice.com;Setterwalls,Baker McKenzie,Avanza Bank 
Inzile;2019-06-27;First North;G&W FK ;2;45;                          306        ;113;9,55;100;Ragnar Åhgren,Bring Express,Vivianne Holm,Dag Rolander,Gerhard Dal;;83.,4;Ragnar Åhgren;Johan Svard;61,85;Ragnar Åhgren,Klas Åhgren,Johan Svard,Bring Express,Sven Erik Pettersson;;Mikrobolag;63;12,36;inzile.com/sv;Nordnet Bank,Delphi 
Selectimmune Pharma;2019-06-26;Spotlight;Arctic Securities ;1;30;                          60        ;117;7,5;100;Prometheus Pension,FV Group,Bjorn Wullt,John Moll,Fredrik Herslow;;62.,5;Fredrik Herslow;Catharina Svanborg;62,91;Catharina Svanborg,FV Group AB,Fredrik Herslow,Jan Zetterberg,Prometheus Pension;;Mikrobolag;0;36;www.selectimmune.com;Delphi 
John Mattson;2019-06-05;Nasdaq Mid;Carnegie,Handelsbanken ;1;1305;                          76        ;3030;90;0;Forsta AP-fonden,Lansforsakringar,Carnegie Fonder,PriorNilsson,Fidelity;;69.,7;Siv Malmgren;Anders Nylander;11,04;AB Borudan Ett,Tagehus Holding,Forsta AP-fonden,Lansforsakringar,Carnegie Fonder;									AB Borudan Ett			;Miljardbolag;100;13,33;www.johnmattson.se;Gernandt & Danielsson 
Tingsvalvet Fastighets;2019-06-14;Spotlight;Arctic Securities ;7;304;                          -13        ;304;100;100;;;0;;;Uppgift saknas;;;Smabolag;0;2,5;;Nordnet Bank 
Vertiseit;2019-05-28;First North;Partner FK ;2;69;                          84        ;195;15,3;43;Jonas Lagerqvist,Simplicity,Per Vasilis,Gerhard Dal,Philip Lochen;;74.,4;Johan Lind;Vilhelm Schottenius;75,3;Johan Lind,Adrian Eriksson,Vilhelm Schottenius,Oskar Edespong,Jonas Lagerqvist;									Korberg & Co Annonsbyra,					Adrian Eriksson,					Johan Lind,					Jan Kjellman,					Oskar Edespong			;Smabolag;0;10,46;www.vertiseit.se;
OssDsign;2019-05-24;First North;Erik Penser Bank,SV Venture ;3;151;                          -69        ;488;27,5;100;Lancelot Asset Management,Consensus Asset Management,Handelsbanken Fonder,Alto Invest,Karolinska Development;;73.,8;Anders Lundqvist;Simon Cartmell;1,28;Karolinska Development,SEB Venture Capital,Fouriertransform,Lancelot Asset Management,Consensus Asset Management;;Smabolag;0;-16,36;www.ossdsign.com;Nordnet Bank,Setterwalls 
Malardalens Omsorgsfastigheter;2019-06-17;Spotlight;Carnegie ;7;10;                          -1        ;0;100;0;;;0;;;Uppgift saknas;;;Smabolag;0;2;;Nordnet Bank 
FluoGuide;2019-05-07;Spotlight;Sedermera Corporate Finance ;2;22;                          1916        ;50;4,95;100;Patrik Dahlén,Grethe Nørskov Rasmussen,Arne Ferstad,Jimmie Landermann,Rasunda Invest;;62;Morten Albrechtsen;Arne Ferstad;59,11;Andreas Kjaer (via bolag),Morten Albrechtsen (via bolag),Grethe Nørskov Rasmussen,Arne Ferstad,Patrik Dahlén;;Mikrobolag;0;69,7;fluoguide.com;Nordnet Bank,Markets & Corporate Law 
Karnov Group;2019-04-11;Nasdaq Mid;Carnegie,Nordea ;2;1871;                          27        ;4200;43;43;Vindd AS,Lazard Asset Management,AP4,Magnus Mandersson,Ulf Bonnevier;;32.,7;Flemming Breinholt;Magnus Mandersson;6,43;FAPI,General Electric,Torreal,Vind AS,AP4;									FAPI,					General Electric Pension,					Torreal,					RPO King,					Five Arrows			;Miljardbolag;53.28;3,02;www.karnovgroup.com/sv;Gernandt & Danielsson,White & Case,Rothschild & Co,Avanza Bank 
Upsales Technology;2019-04-24;First North;Erik Penser Bank ;2;25;                          236        ;362;22;100;Swedbank Robur;;12;Daniel Wikberg;Tobias Fagerlund;61,97;Daniel Wikberg,Swedbank Robur,Fibonacci Growth Capital,Anders Julin,Comfocus;;Smabolag;100;32,64;www.upsales.com;Bird & Bird 
Teqnion;2019-04-04;First North;Redeye ;2;80;                          248        ;419;26;100;Creades,Consensus Asset Management,Aktia Fondbolag,Familjen Hamberg,Familjen Kjell;;80.,9;Johan Steene;Per Berggren;59,73;Vixar,Creades,Erik Surén,Jonas Haggqvist,Johan Steene;;Smabolag;0;50;teqnion.se;Nordnet Bank,Avanza Bank,Torngren Magnell,Aktieinvest 
Triboron International;2019-04-08;First North;Eminova ;5;35;                          -80        ;225;8,8;87;Leif GW Persson,TJ Junior AB,Pegroco Invest,Gerhard Dal,Carl-Henric Svanberg;;74;Par Krossling;Kent Sander;35,96;Christian Dahl (via bolag),Olle Heigard,Kent Sander,Carl-Henric Svanberg,IN03 AB;									Thomas Lindskog (via bolag)			;Smabolag;0;117,05;www.triboron.com/sv/hem;Synch Advokat,Avanza Bank 
Ascelia Pharma;2019-03-13;Nasdaq Small;Vator ;4;200;                          82        ;565;25;100;Alto Invest,Handelsbanken Fonder,Fjarde AP-Fonden;;75;Magnus Corfitzen;Peter Benson;2,62;Sunstone Life Science Fund,CMC SPV AB,Øresund Healthcare Capital,Alto Invest,Handelsbanken Fonder;;Smabolag;0;-0,48;www.ascelia.com;Erik Penser Bank,Baker McKenzie,Setterwalls 
Nustay;2019-03-22;Spotlight;Sedermera Corporate Finance ;4;30;                          -96        ;131;7,2;71;Hazelpond Capital,Nicholas James Bird,Fundamental Fonds,Seier Capital Denmark,Jimmie Landermann;;56.,3;Mathias Lundoe Nielsen;Lone Fønss Schrøder;33,14;Simon Skouboe (via bolag),Seier Capital Denmark A/S,Mathias Lundoe Nielsen (via bolag),DBL Holding AS,Christian Strøjer Holding ApS;;Smabolag;0;-2,78;nustay.com;Nordnet Bank,Markets & Corporate Law 
Ferroamp;2019-03-22;First North;G&W FK ;6;40;                          439        ;137;16;100;John Fallstrom,Arne Grundstrom,Pegroco Invest,Gerhard Dal,Jimmie Landermann;									John Fällström,					Arne Grundström,					Pegroco Invest,					Maria Zandi,					Gerhard Dal			;79.,3;Olof Heyman;Ylwa Karlgren;23,25;Bjorn Jernstrom,KIC InnoEnergy,Almi Invest,Åke Rehnman,Sustainable Energy Angels;;Smabolag;0;26,25;www.ferroamp.com;Nordnet Bank,Aktieinvest 
Zwipe;2019-01-28;Merkur Market;Carnegie,Redeye ;2;125;                          35        ;309;20;96;Sundt,Lars Windfeldt,Oliver Molse, m.fl.,Jorgen Lantto,Pegroco Invest;;75;André Løvestam;Jorgen Lantto;20,25;Lars Windfeldt,Photon Future Limited,Kim Humborstad (via bolag),Concito as,Telecom AS;;Smabolag;0;-7,5;zwipe.com;Advokatfirmaet Simonsen Vogt Wiig AS,Advokatfirmaet Wiersholm AS 
InCoax;2019-01-03;First North;Augment Partners ;5;24;                          -70        ;195;20;100;Saugatuck Invest,BLL Invest,Norrlandspojkarna,Charles Tooby,Jonas Palsson;;50;Peter Carlsson;Richard Tooby;9,82;BLL Invest,Charles Tooby,Saugatuck Invest,Richard Tooby,Lars Axelsson;;Mikrobolag;0;-52,5;www.incoax.com/en/start;Nordnet Bank,Aqurat,Invesdor,Setterwalls 
Lime Technologies;2018-12-06;Nasdaq Small;Carnegie,SEB ;0;319;                          351        ;900;72;0;Swedbank Robur,Grenspecialisten,LMK,RoosGruppen,C WorldWide;;46;Erik Syrén;Peter Larsson;19,2;Monterro 1,Erik Syrén (via bolag),Swedbank Robur,Grenspecialisten,LMK;									Monterro 1,					Martin Modéer,					Jonas Jakobsson			;Smabolag;1.22;4,17;www.lime-technologies.se;Gernandt & Danielsson 
JetPak;2018-12-05;First North;ABG Sundal Collier,Pareto ;3;235;                          65        ;533;45;92;;;0;Kenneth Marx;John Dueholm;1,53;Polaris,Kommanditselskabet,Kenneth Marx,Rikard Lidén,Peter Hallman;;Smabolag;15.8;-6;jetpakgroup.com;SEB,Baker McKenzie,Hammarskiold,Avanza Bank 
Q-linea;2018-12-07;Nasdaq Small;Carnegie,Redeye ;4;550;                          133        ;1583;68;105;Öresund,AP4,Catella,Lansforsakringar;;33.,3;Jonas Jarvius;Erika Kjellberg Eriksson;5,12;Nexttobe,Öresund,AP4,Moleculink;;Miljardbolag;77.44;-0,9;www.qlinea.com;Lindahl,Baker McKenzie,Avanza Bank 
Azelio;2018-12-10;First North;Pareto ;4;300;                          77        ;990;22;100;LMK,Byggmastare Anders J Ahlstrom,Alfred Berg,Back in Black Capital,Kent Janér (via bolag);;45.,8;Jonas Eklind;Bo Dankis;26,9;Kent Janér (via bolag),Thames Trust,Back in Black Capital,BFO Private Equity;;Smabolag;2.48;-29,55;www.azelio.com;Vinge 
CAG Group;2018-12-12;First North;Erik Penser Bank ;1;70;                          8        ;440;66;100;Nordea Fonder,PriorNilsson Fonder,Erik Penser Bank (for kunders rakning);;71.,5;Åsa Ericsson;Bo Lindstrom;31,36;Bo Lindstrom,Michael Ekman,Nordea Fonder,Magnus Soderstrom,PriorNilsson Fonder;;Smabolag;10.18;-4,24;www.cag.se;Bird & Bird 
Beyond Frames Entertainment;2018-12-06;Spotlight;InWest Corp. ;3;10;                          63        ;104;8,7;100;Acelera Forvaltning,Mikael Soderstrom (via bolag),Jesper Åkerlind,Agneta Berg,Johan Larsson;;50;Johan Larsson;Ricky Helgesson;11,01;ARVR Holding,Init CEMU,Init MAEM,Ricky Helgesson (via bolag),Acelera Forvaltning;;Mikrobolag;0;-5,75;beyondframes.com;Aktieinvest 
D&Company Nordic;2018-12-11;First North;Corpura ;6;21;                          0        ;78;6,5;100;UTN Holding,Falvir,BaulosCapital Belgium,Peter Strand,Alexander Shoeneck;;55.,1;Ralph Dahlin;Stefan Wilhelmsson;8,05;UTN Holding,Falvir,Nils Wikstrom,Hammarby Storgard;;Mikrobolag;0;-;www.dcompanynordic.com;Aqurat,Fredersen Advokat 
AlzeCure;2018-11-28;First North;Vator ;3;200;                          -32        ;529;14;100;William Gunnarsson,SEB-stiftelsen,Erik Penser Bank (for kunders rakning);;77.,5;Johan Sandin;Thomas Pollare;4,52;BWG Invest Sarl,Stiftelsen AlzeCure,Danica Pension,Peter Thelin,Pontus Forsell;;Smabolag;0;-21,43;www.alzecurepharma.se/sv;Nordnet Bank,Hamilton 
S2Medical;2018-11-28;First North;Partner FK ;2;40;                          -34        ;164;14,5;100;BigState International,Consensus Lighthouse Asset,T-bolaget,Martin Zetterstrom,Gerhard Dal;;51.,5;Petter Sivlér;Martin Zetterstrom;16,81;SivlerSkog Group,Arbona Growth,BigState International,Strategic Wisdom Nordic,Cormac Invest;;Smabolag;0;31,03;www.s2m.se;
Raytelligence;2018-12-20;NGM SME;Eminova ;6;10;                          -44        ;60;7,05;100;Gunnar Nilsson Stiftelse,Peter Niman,Klas arvidson (via bolag),Risk Management Consulting,Fredrik Lundqvist;;52;Pelle Viberg;Jonas Vikbladh;43,71;Swedish Adrenaline,Gunnar Nilssons stiftelse;;Mikrobolag;0;-43,69;www.raytelligence.com/index.html;
Neodynamics;2018-12-07;Spotlight;Sedermera Corporate Finance ;5;51;                          -44        ;125;8,2;100;Boai NKY Medical Holdings,Fang Huasheng,M2 Capital Management,Gryningskust Holding,ADB Invest;									Boai NKY Medical Holdings			;73;Anna Eriksrud;Ingrid Salén;6,86;Boai NKY Medical Holdings,M2 Capital Management,Gryningskust Holding,Jorgen Vrenning,Ingrid Salén (via bolag);;Mikrobolag;0;-25,61;www.neodynamics.se;Nordnet Bank 
Zordix;2018-11-23;NGM SME;Augment Partners ;2;14;                          216        ;77;5,9;100;Ospecifierat;;27.,1;Matti Larsson;Malin Jonsson;38,31;Allscope,Johan Svensson,IZA Enterprises,Martin Rosell Investments;;Mikrobolag;0;-31,19;www.zordix.com;Mangold FK 
Vilhelmina Mineral;2018-12-30;NGM SME;Aqurat ;5;23;                          0        ;96;5;100;;									Vilhelmina Minerals,					Dividend,					Jörns Bullmarknad,					Rune Löderup,					Gerhard Dal			;80;Peter Hjorth;Michael Timmins;17,57;Vilhelmina Minerals,Lovisagruvan,Jonas Dahlof,Upscale,Lovisagruvan Utveckling;;Mikrobolag;0;-;vilhelminamineral.com;
Comintelli;2018-11-19;Spotlight;InWest Corp. ;1;7;                          -55        ;52;6,9;100;Oliver Molse, m.fl.,Jimmie Landerman,Gerhard Dal,Roland Peterson,Jesper Martell;;50.,7;Jesper Martell;Per Hjortblad;36,05;Jesper Martell,Gabriel Anderbjork,Richard Molvidson,Anders Thulin,Peter Savblom;;Mikrobolag;0;37,68;comintelli.com;Aktieinvest 
Polarcool;2018-11-27;Spotlight;Aqurat ;3;18;                          91        ;90;2;100;;;0;Iman Ziai;Mats Forsman;0,44;Avanza Pension,Nordnet Pensionsforsakring,Cormac Invest,Swedbank Forsakring,Christer Atterklev;;Mikrobolag;0;-50;polarcap.com;
